,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,y
740,7.4,89.58097839355469,-0.5769640548784666,383.0646632904865,20.135532855987552,1.8990380863970369,1532.7221720963068,46.66328607796814,0.5047203089549895,1.916139283048579,103.2473681977103,1.038920993423621,7.4
43,10.4,58.48434066772461,1.0075568377140305,391.63580377464035,13.576911926269533,1.9821517745763264,1539.3475752442034,44.967099051229255,0.8048048622350267,2.250942854540112,107.84464930978079,1.0376200966109006,10.5
1180,7.7,88.68440246582031,0.06041734749857339,385.62525152294836,16.633496284484867,2.017105869387237,1493.0655910145074,45.670405088070325,0.5181716155165141,1.9342360634819615,103.77885494762802,1.0518515394159345,8.1
700,7.7,66.28916931152344,-0.6034731919138699,384.2411440983471,19.14510440826416,1.9807205655017253,1496.1433978691246,46.31052906501032,0.528858895203789,2.0614239281528324,104.08441363848542,1.051910994717628,7.3
763,7.7,69.46017456054689,0.16446711984040505,378.68824618139564,9.747891426086426,2.0197370302652846,1553.2862244952676,42.98329175459075,1.4224786262947693,1.8547498517543335,103.35530485106119,1.0430688429547057,9.3
647,7.3,60.92865371704102,-0.3555989745410752,389.7580356133569,17.458061218261722,1.8962624764857945,1499.673937858299,46.99547230463673,0.5478041229311562,2.0403171971100957,104.69855596097,1.0463181399380808,8.2
568,9.1,62.448097229003906,-0.26814700053733903,383.9791991109385,14.012892723083494,2.1300873065949424,1563.9770285920786,46.163263200656964,0.6550903234658044,2.0820811373327417,105.10370576185736,1.052751651091386,9.3
822,8.4,93.18610382080078,-0.22583881549406346,388.7805672417048,14.851675033569336,1.9475013113930464,1559.3434584136025,45.122967105573956,0.6922281241540346,1.943858391018565,102.53923101857909,1.0415154552604071,7.3
727,8.2,68.53530120849611,-0.312152490847854,383.0043525201721,16.894135475158688,1.977072706708914,1507.1968421540028,46.88952165950421,0.5100675624747852,1.982812541631632,103.51653519122479,1.048002612440382,8.6
454,9.0,66.41185760498047,0.3781799602254077,379.94998874963073,14.71424674987793,2.15572114543736,1558.8381888973665,42.06619285590424,1.8891612753596907,2.2867262336087824,106.01208603735563,1.048150587794511,8.6
772,8.4,63.82597732543945,0.09801846047277488,375.18994062336236,17.225857734680176,2.0889846847015128,1596.1221398506743,44.22797312328801,1.3394344355139545,1.9684906073677373,103.31884137502121,1.0525892438442426,9.0
315,8.3,64.26954650878906,0.3240207534866231,389.60606149555707,13.78068733215332,2.1386372076998668,1605.1561423561761,42.150939225613726,0.9839020470972726,2.1904142183660555,107.98719608683085,1.0453977735803668,8.7
907,7.2,59.06946563720703,-0.010734255418401879,374.9929544537055,15.20235300064087,1.7082070120548667,1486.7320663747118,42.72387108490901,0.3307797221389823,1.9282029731103727,103.64139675673158,1.0337746636173506,9.1
307,8.4,60.60778045654297,0.10782347080350399,381.76186833177934,12.325846672058105,2.237111748108177,1451.4013647624054,38.63648961872914,2.443115808665345,2.42891132182097,115.31296911448368,1.0470540372040316,8.5
1269,7.9,61.08909225463867,0.00953070661901373,375.76852219719984,19.69481658935547,1.8837037977797293,1493.8778531949818,42.560618300765384,0.4515715911282802,1.7081710915194108,104.21257227267228,1.04234704747052,8.1
965,8.5,81.88938903808594,-0.2320320587356897,385.88127616424276,18.17837429046631,1.917787099907,1508.5473951874105,43.95394681454947,0.5512019128897471,1.9151979475111052,102.82678891842492,1.0508901878015855,9.1
119,8.3,60.31521606445313,0.0987053530197216,387.02023150939385,16.420245170593258,2.0005002556153224,1555.6951254550645,40.50238852345584,0.5753775380316143,2.2380981621743063,103.02734318379908,1.0325906311001964,8.6
25,7.0,61.60815811157226,0.35299833388583185,391.33026080688455,13.463180541992188,1.9887931934394865,1548.2838789747464,46.18927223676958,0.6384239281441652,2.0901278396915504,105.5891437243835,1.0433514724160358,8.9
23,7.8,66.56285858154297,-0.02456245441679747,381.56430977432615,11.245382308959961,2.009641602270978,1471.3087707193372,44.89296833511195,0.7296412231358421,1.978828488022668,107.89043128179364,1.0476353100047309,9.5
833,8.3,58.33333587646485,0.214736910733892,383.79411717007423,18.96976709365845,1.9356539841658795,1527.8997799139245,43.95177004065484,0.4961602692512405,2.057044493453972,102.96854805625155,1.031154256940414,8.2
459,7.1,66.84598541259766,-0.4828247110321423,379.19516531354486,17.97934055328369,2.1252519626133366,1564.079023427545,42.98812987955586,1.6063309118996627,2.4130060175633155,105.94643713669385,1.0507208736259308,8.6
129,8.0,63.127601623535156,0.12756921838907453,384.7222901957997,18.524312019348145,2.1463798602466153,1559.4802093101794,41.83223358280024,1.006214929701943,2.292318325720508,103.58954025035484,1.0389775483747443,8.8
1161,9.0,63.1464729309082,0.599445401745901,380.5678485582313,20.53833913803101,1.9085111285877707,1560.9036516087913,43.54767634451889,0.5492135818230344,1.863464201776384,102.95949615057768,1.0307874904790677,8.3
980,7.7,85.39070892333984,-0.04814301590981453,382.6739987022338,14.429911136627195,2.1208729386992577,1570.5398181277344,43.48200252164517,1.5388965135111454,1.9008936056597168,102.76321280670626,1.0473096685556202,7.7
1257,8.8,59.966026306152344,-0.04702907956343813,389.85790308782134,19.46261072158813,1.9131010358734395,1556.2146924043207,45.894278114709685,0.477512829156805,1.9523685636877235,103.04174714110412,1.0457096693901204,8.0
260,8.0,63.48622512817383,0.2990938439142042,395.30646208141997,14.548385620117188,2.47573282277244,1545.9707897905207,45.22526031888231,0.9143162033738076,2.3203798631482675,107.9119206632008,1.0552966976817908,8.4
1196,8.1,56.44583129882813,-0.2770620044483064,383.27982995921417,16.017438888549805,1.930233904497052,1525.598506970721,43.08379126891105,0.6377377938113101,2.0430574644163,103.28732445907005,1.0406726608625638,9.0
622,8.7,73.80143737792969,-0.5465066181073198,384.14170218883277,14.96540641784668,1.990724901993827,1489.8532983372613,46.46430493890943,0.6046788855379119,1.9452910748616512,111.33114473433352,1.0477002316448276,7.0
546,10.2,64.18460083007811,0.6611851166921391,384.1316210500721,10.363945960998537,2.5220357565724703,1571.4501176620129,46.56013199158558,1.0232537020834522,2.1288783179985047,105.49728577281576,1.0520852604938682,10.0
258,7.4,64.23178863525389,0.14978212855981934,384.4800969805293,12.377973556518555,2.5042777691103333,1561.0722306939922,45.39678405028397,0.9182546468199382,2.3856035621674683,108.52505707512344,1.0557932623595252,8.8
49,7.9,61.68366241455078,0.029272783079758963,395.4487814394838,14.10293197631836,2.0633031672433657,1558.7702454589673,44.67276609664277,0.5855534026694151,2.20502933732388,106.9662957446381,1.039714054416368,8.8
393,7.4,69.59230041503906,0.2106512481478143,375.6633167435839,14.117147445678713,2.1231121319909216,1547.1245344484023,41.68743719073343,1.3218757625060993,2.392311924245808,104.19211421216256,1.0479090830090778,7.6
